model,calibration_method,referral_rate,coverage,n_accepted,n_referred,selective_risk,accepted_case_error_rate,sensitivity,specificity,ppv,npv,brier_score,ece,decision_threshold
lightgbm,isotonic,0.0,1.0,404,0,0.2698019801980198,0.2698019801980198,0.6995708154506438,0.7719298245614035,0.806930693069307,0.6534653465346535,0.1832957120387784,0.0618496814319899,0.5
lightgbm,isotonic,0.05,0.9504950495049505,384,20,0.2838541666666667,0.2838541666666667,0.6995708154506438,0.7417218543046358,0.806930693069307,0.6153846153846154,0.1824001716825149,0.0883919145289607,0.5
lightgbm,isotonic,0.1,0.900990099009901,364,40,0.2829670329670329,0.2829670329670329,0.7180616740088106,0.7153284671532847,0.806930693069307,0.6049382716049383,0.1796840618595142,0.1013673600541702,0.5
lightgbm,isotonic,0.2,0.7995049504950495,323,81,0.2074303405572755,0.2074303405572755,0.7989949748743719,0.782258064516129,0.8548387096774194,0.708029197080292,0.1624061418101772,0.0835596597339578,0.5
lightgbm,isotonic,0.3,0.7004950495049505,283,121,0.2049469964664311,0.2049469964664311,0.8277777777777777,0.7378640776699029,0.8465909090909091,0.7102803738317757,0.1583129496891777,0.088193929551874,0.5
lightgbm,platt,0.0,1.0,404,0,0.2772277227722772,0.2772277227722772,0.7467811158798283,0.6900584795321637,0.7665198237885462,0.6666666666666666,0.1806447578601156,0.0633745607272895,0.5
lightgbm,platt,0.05,0.9504950495049505,384,20,0.2604166666666667,0.2604166666666667,0.76,0.710691823899371,0.7880184331797235,0.6766467065868264,0.1769569716695637,0.062975201994816,0.5
lightgbm,platt,0.1,0.900990099009901,364,40,0.25,0.25,0.7581395348837209,0.738255033557047,0.806930693069307,0.6790123456790124,0.1728779042798744,0.066876019671919,0.5
lightgbm,platt,0.2,0.7995049504950495,323,81,0.2167182662538699,0.2167182662538699,0.7897435897435897,0.7734375,0.8415300546448088,0.7071428571428572,0.1609069352494756,0.06668041047885,0.5
lightgbm,platt,0.3,0.7004950495049505,283,121,0.2014134275618374,0.2014134275618374,0.8103448275862069,0.7798165137614679,0.8545454545454545,0.7203389830508474,0.1523790081202545,0.0701039493807541,0.5
lightgbm,uncalibrated,0.0,1.0,404,0,0.2772277227722772,0.2772277227722772,0.6824034334763949,0.7777777777777778,0.8071065989847716,0.642512077294686,0.1825158753249808,0.0769511707117881,0.5
lightgbm,uncalibrated,0.05,0.9504950495049505,384,20,0.2578125,0.2578125,0.7008928571428571,0.8,0.8306878306878307,0.6564102564102564,0.1787669546517206,0.082420551970258,0.5
lightgbm,uncalibrated,0.1,0.900990099009901,364,40,0.2472527472527472,0.2472527472527472,0.7075471698113207,0.8157894736842105,0.8426966292134831,0.6666666666666666,0.1750661091467701,0.0816673410005863,0.5
lightgbm,uncalibrated,0.2,0.7995049504950495,323,81,0.2321981424148606,0.2321981424148606,0.7210526315789474,0.8345864661654135,0.8616352201257862,0.676829268292683,0.1676953022944981,0.0875656856633493,0.5
lightgbm,uncalibrated,0.3,0.7004950495049505,283,121,0.2084805653710247,0.2084805653710247,0.7469879518072289,0.8547008547008547,0.8794326241134752,0.704225352112676,0.1567884425872114,0.0860845257629345,0.5
logistic_regression,isotonic,0.0,1.0,404,0,0.2945544554455445,0.2945544554455445,0.7639484978540773,0.6257309941520468,0.7355371900826446,0.6604938271604939,0.2081811794075785,0.0844521129753615,0.5
logistic_regression,isotonic,0.05,0.9504950495049505,384,20,0.2916666666666667,0.2916666666666667,0.7587719298245614,0.6346153846153846,0.7521739130434782,0.6428571428571429,0.2068879107539424,0.07567199891,0.5
logistic_regression,isotonic,0.1,0.900990099009901,364,40,0.3076923076923077,0.3076923076923077,0.7587719298245614,0.5808823529411765,0.7521739130434782,0.5895522388059702,0.2076472995878884,0.0873579871475268,0.5
logistic_regression,isotonic,0.2,0.7995049504950495,323,81,0.2755417956656347,0.2755417956656347,0.8439024390243902,0.5169491525423728,0.7521739130434782,0.6559139784946236,0.2010413351598195,0.0828127670957158,0.5
