feature_configuration,n_features,model,test_auroc,test_brier
Full model (all leads + demographics),64,logistic_regression,0.7496674447205282,0.2049388386576656
Full model (all leads + demographics),64,lightgbm,0.8081469768842708,0.1825158753249808
"Limb leads (I,II,III,aVR,aVL,aVF) only",30,logistic_regression,0.689606706322315,0.2226550686550565
"Limb leads (I,II,III,aVR,aVL,aVF) only",30,lightgbm,0.7329518359561278,0.210938489800832
Precordial leads (V1-V6) only,30,logistic_regression,0.6281153527595813,0.2412810787994002
Precordial leads (V1-V6) only,30,lightgbm,0.7216826042215696,0.2192533982514808
"Demographics (age,height,weight,gender) only",4,logistic_regression,0.731609065582411,0.2131893479333841
"Demographics (age,height,weight,gender) only",4,lightgbm,0.7069999749014884,0.222599384154818
Full minus Limb leads,34,logistic_regression,0.7190472604974525,0.215673787105511
Full minus Limb leads,34,lightgbm,0.7611374645483522,0.2052076339181389
Full minus Precordial leads,34,logistic_regression,0.7635469216675452,0.1991555427024657
Full minus Precordial leads,34,lightgbm,0.7900007529553497,0.1891211999867131
Full minus Demographics,60,logistic_regression,0.6952789699570816,0.2240217588595425
Full minus Demographics,60,lightgbm,0.7793840825239065,0.194537551305818
