model,feature_configuration,test_auroc,auroc_ci_lower,auroc_ci_upper,diff_vs_full_model,diff_ci_lower,diff_ci_upper,diff_excludes_zero
logistic_regression,Full model (all leads + demographics),0.7496674447205282,0.70115892377582,0.7910304193961298,0.0,0.0,0.0,False
logistic_regression,"Limb leads (I,II,III,aVR,aVL,aVF) only",0.689606706322315,0.6350726601912506,0.7392992495545015,-0.06006073839821313,-0.09428193158145716,-0.02124149787917599,True
logistic_regression,Precordial leads (V1-V6) only,0.6281153527595813,0.5743474386968853,0.678495595211204,-0.12155209196094685,-0.16570539367015533,-0.07817119694802112,True
logistic_regression,"Demographics (age,height,weight,gender) only",0.731609065582411,0.6817361267976809,0.7763471626132572,-0.018058379138117142,-0.06169622016414422,0.02667971789272894,False
logistic_regression,Full minus Limb leads,0.7190472604974525,0.6701948899430263,0.7650358908716713,-0.030620184223075664,-0.05870918354541571,-0.002533067289109874,True
logistic_regression,Full minus Precordial leads,0.7635469216675452,0.714953065783199,0.8072013904575459,0.013879476947017078,-0.005573124513716188,0.03591785257134247,False
logistic_regression,Full minus Demographics,0.6952789699570816,0.6429793188263936,0.7441332228998822,-0.05438847476344655,-0.07987287603845092,-0.030918856511808677,True
lightgbm,Full model (all leads + demographics),0.8081469768842708,0.7644736842105263,0.8459246291694902,0.0,0.0,0.0,False
lightgbm,"Limb leads (I,II,III,aVR,aVL,aVF) only",0.7329518359561278,0.6828382651908741,0.775776798935823,-0.07519514092814306,-0.11869839118540271,-0.035282232763597016,True
lightgbm,Precordial leads (V1-V6) only,0.7216826042215696,0.6721575935547022,0.7659350450518283,-0.08646437266270124,-0.1278637401802073,-0.05019639585372597,True
lightgbm,"Demographics (age,height,weight,gender) only",0.7069999749014884,0.6540276836583591,0.755623321537033,-0.10114700198278248,-0.14371941118891668,-0.05941947142534441,True
lightgbm,Full minus Limb leads,0.7611374645483522,0.7147039630549908,0.8061541550586051,-0.04700951233591866,-0.07131804833973335,-0.02148056120272085,True
lightgbm,Full minus Precordial leads,0.7900007529553497,0.742479230981603,0.8338246366990437,-0.01814622392892118,-0.04362686042717669,0.007611123660366847,False
lightgbm,Full minus Demographics,0.7793840825239065,0.7334443942474211,0.8201829681499887,-0.02876289436036439,-0.05491868082222728,-0.0006663654845268699,True
