variable,Overall,test,train,val
age,"62.0 [50.0, 72.0]","61.0 [50.0, 72.0]","62.0 [50.0, 72.0]","63.0 [49.0, 72.0]"
height,"166.0 [160.0, 175.0]","167.0 [160.0, 175.0]","166.0 [160.0, 175.0]","166.0 [160.0, 174.0]"
weight,"70.0 [60.0, 80.0]","70.0 [62.0, 81.0]","70.0 [60.0, 80.0]","72.5 [63.0, 82.0]"
I_mean,"-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]"
I_std,"0.1 [0.1, 0.2]","0.1 [0.1, 0.2]","0.1 [0.1, 0.2]","0.1 [0.1, 0.2]"
I_min,"-0.2 [-0.3, -0.2]","-0.2 [-0.3, -0.2]","-0.2 [-0.3, -0.2]","-0.2 [-0.3, -0.2]"
I_max,"0.8 [0.6, 1.0]","0.8 [0.6, 1.0]","0.8 [0.6, 1.0]","0.8 [0.5, 1.0]"
I_rms,"0.1 [0.1, 0.2]","0.1 [0.1, 0.2]","0.1 [0.1, 0.2]","0.1 [0.1, 0.2]"
II_mean,"-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]"
II_std,"0.1 [0.1, 0.2]","0.1 [0.1, 0.2]","0.1 [0.1, 0.2]","0.1 [0.1, 0.2]"
II_min,"-0.3 [-0.4, -0.2]","-0.3 [-0.4, -0.2]","-0.3 [-0.4, -0.2]","-0.3 [-0.4, -0.2]"
II_max,"0.7 [0.5, 1.0]","0.8 [0.5, 1.0]","0.7 [0.5, 1.0]","0.7 [0.5, 0.9]"
II_rms,"0.1 [0.1, 0.2]","0.1 [0.1, 0.2]","0.1 [0.1, 0.2]","0.1 [0.1, 0.2]"
III_mean,"0.0 [-0.0, 0.0]","0.0 [-0.0, 0.0]","0.0 [-0.0, 0.0]","0.0 [-0.0, 0.0]"
III_std,"0.1 [0.1, 0.2]","0.1 [0.1, 0.2]","0.1 [0.1, 0.2]","0.1 [0.1, 0.2]"
III_min,"-0.4 [-0.8, -0.3]","-0.5 [-0.7, -0.3]","-0.5 [-0.8, -0.3]","-0.4 [-0.8, -0.3]"
III_max,"0.3 [0.2, 0.6]","0.4 [0.2, 0.6]","0.3 [0.2, 0.6]","0.4 [0.2, 0.6]"
III_rms,"0.1 [0.1, 0.2]","0.1 [0.1, 0.2]","0.1 [0.1, 0.2]","0.1 [0.1, 0.2]"
aVR_mean,"0.0 [-0.0, 0.0]","0.0 [-0.0, 0.0]","0.0 [-0.0, 0.0]","0.0 [-0.0, 0.0]"
aVR_std,"0.1 [0.1, 0.1]","0.1 [0.1, 0.2]","0.1 [0.1, 0.1]","0.1 [0.1, 0.1]"
aVR_min,"-0.7 [-0.9, -0.5]","-0.8 [-0.9, -0.6]","-0.7 [-0.9, -0.5]","-0.7 [-0.9, -0.5]"
aVR_max,"0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.2 [0.2, 0.3]"
aVR_rms,"0.1 [0.1, 0.1]","0.1 [0.1, 0.2]","0.1 [0.1, 0.1]","0.1 [0.1, 0.1]"
aVL_mean,"-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]"
aVL_std,"0.1 [0.1, 0.1]","0.1 [0.1, 0.1]","0.1 [0.1, 0.1]","0.1 [0.1, 0.1]"
aVL_min,"-0.2 [-0.3, -0.2]","-0.2 [-0.4, -0.2]","-0.2 [-0.3, -0.2]","-0.2 [-0.3, -0.2]"
aVL_max,"0.5 [0.3, 0.8]","0.6 [0.3, 0.8]","0.6 [0.3, 0.8]","0.5 [0.3, 0.8]"
aVL_rms,"0.1 [0.1, 0.1]","0.1 [0.1, 0.1]","0.1 [0.1, 0.1]","0.1 [0.1, 0.1]"
aVF_mean,"-0.0 [-0.0, 0.0]","0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","0.0 [-0.0, 0.0]"
aVF_std,"0.1 [0.1, 0.1]","0.1 [0.1, 0.1]","0.1 [0.1, 0.1]","0.1 [0.1, 0.1]"
aVF_min,"-0.3 [-0.5, -0.2]","-0.3 [-0.5, -0.2]","-0.3 [-0.5, -0.2]","-0.3 [-0.5, -0.2]"
aVF_max,"0.5 [0.3, 0.7]","0.5 [0.3, 0.7]","0.4 [0.3, 0.7]","0.4 [0.3, 0.7]"
aVF_rms,"0.1 [0.1, 0.1]","0.1 [0.1, 0.1]","0.1 [0.1, 0.1]","0.1 [0.1, 0.1]"
V1_mean,"-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]"
V1_std,"0.2 [0.1, 0.2]","0.2 [0.1, 0.2]","0.2 [0.1, 0.2]","0.2 [0.1, 0.2]"
V1_min,"-0.9 [-1.2, -0.7]","-0.9 [-1.2, -0.7]","-0.9 [-1.2, -0.7]","-0.9 [-1.2, -0.7]"
V1_max,"0.3 [0.2, 0.4]","0.3 [0.2, 0.5]","0.3 [0.2, 0.4]","0.3 [0.2, 0.4]"
V1_rms,"0.2 [0.1, 0.2]","0.2 [0.1, 0.2]","0.2 [0.1, 0.2]","0.2 [0.1, 0.2]"
V2_mean,"-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]"
V2_std,"0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.3 [0.2, 0.3]","0.2 [0.2, 0.3]"
V2_min,"-1.3 [-1.7, -0.9]","-1.2 [-1.6, -0.9]","-1.3 [-1.7, -0.9]","-1.2 [-1.7, -0.9]"
V2_max,"0.6 [0.4, 0.9]","0.6 [0.5, 0.9]","0.6 [0.4, 0.9]","0.6 [0.4, 0.9]"
V2_rms,"0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.3 [0.2, 0.3]","0.2 [0.2, 0.3]"
V3_mean,"-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]"
V3_std,"0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.2 [0.2, 0.3]"
V3_min,"-1.1 [-1.5, -0.7]","-1.1 [-1.5, -0.8]","-1.1 [-1.5, -0.8]","-1.0 [-1.5, -0.7]"
V3_max,"0.9 [0.6, 1.3]","0.9 [0.7, 1.3]","0.9 [0.6, 1.3]","0.8 [0.6, 1.3]"
V3_rms,"0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.2 [0.2, 0.3]"
V4_mean,"-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]"
V4_std,"0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.2 [0.2, 0.3]"
V4_min,"-0.7 [-1.1, -0.5]","-0.7 [-1.1, -0.5]","-0.7 [-1.1, -0.5]","-0.7 [-1.0, -0.5]"
