model,calibration_method,threshold,sensitivity,specificity,ppv,npv,f1_score,balanced_accuracy
logistic_regression,uncalibrated,0.3,0.871244635193133,0.3391812865497076,0.6424050632911392,0.6590909090909091,0.7395264116575592,0.6052129608714203
logistic_regression,uncalibrated,0.5,0.6566523605150214,0.7251461988304093,0.765,0.6078431372549019,0.7066974595842956,0.6908992796727154
logistic_regression,platt,0.3,0.8884120171673819,0.2982456140350877,0.6330275229357798,0.6623376623376623,0.7392857142857142,0.5933288156012348
logistic_regression,platt,0.5,0.7725321888412017,0.6140350877192983,0.7317073170731707,0.6645569620253164,0.7515657620041754,0.69328363828025
logistic_regression,isotonic,0.3,0.8841201716738197,0.3157894736842105,0.6377708978328174,0.6666666666666666,0.7410071942446044,0.5999548226790151
logistic_regression,isotonic,0.5,0.7639484978540773,0.6257309941520468,0.7355371900826446,0.6604938271604939,0.7494736842105263,0.694839746003062
lightgbm,uncalibrated,0.3,0.8283261802575107,0.5730994152046783,0.7255639097744361,0.7101449275362319,0.7735470941883767,0.7007127977310945
lightgbm,uncalibrated,0.5,0.6824034334763949,0.7777777777777778,0.8071065989847716,0.642512077294686,0.7395348837209303,0.7300906056270864
lightgbm,platt,0.3,0.8669527896995708,0.4853801169590643,0.696551724137931,0.7280701754385965,0.7724665391969406,0.6761664533293176
lightgbm,platt,0.5,0.7467811158798283,0.6900584795321637,0.7665198237885462,0.6666666666666666,0.7565217391304347,0.7184197977059961
lightgbm,isotonic,0.3,0.9098712446351931,0.36257309941520466,0.660436137071651,0.7469879518072289,0.7653429602888087,0.6362221720251988
lightgbm,isotonic,0.5,0.6995708154506438,0.7719298245614035,0.806930693069307,0.6534653465346535,0.749425287356322,0.7357503200060236
