model,calibration_method,age_band,n,n_pos,auroc,brier,ece_10bins,selective_risk_at_full_coverage,low_n_flag
lightgbm,dwac,<40,50,17,0.6434937611408199,0.25705315624597747,0.2042229785085024,0.32,False
lightgbm,dwac,40-59,137,60,0.791883116883117,0.18379242788833697,0.05663715179057632,0.2773722627737226,False
lightgbm,dwac,60-79,166,109,0.7849670046676324,0.17947846301026701,0.054993080093540515,0.27710843373493976,False
lightgbm,dwac,80-89,46,42,0.5714285714285714,0.11825550643324859,0.13468967951035307,0.1956521739130435,False
lightgbm,dwac,>89 (anonymized),5,5,,,,,True
lightgbm,isotonic,<40,50,17,0.5552584670231728,0.26267824948942603,0.21240005720725796,0.32,False
lightgbm,isotonic,40-59,137,60,0.7836580086580087,0.1851832815872951,0.05552522905677256,0.2773722627737226,False
lightgbm,isotonic,60-79,166,109,0.7844841461451795,0.18089469097366725,0.059234641426350015,0.27710843373493976,False
lightgbm,isotonic,80-89,46,42,0.5684523809523809,0.11970828763249221,0.14055758663719994,0.1956521739130435,False
lightgbm,isotonic,>89 (anonymized),5,5,,,,,True
lightgbm,platt,<40,50,17,0.6434937611408199,0.24831292102158575,0.2167496719030364,0.34,False
lightgbm,platt,40-59,137,60,0.7893939393939394,0.18475798867579704,0.07890196646218868,0.291970802919708,False
lightgbm,platt,60-79,166,109,0.7846450989859971,0.17996505457554476,0.06419472328715825,0.28313253012048195,False
lightgbm,platt,80-89,46,42,0.5714285714285714,0.11660852710822099,0.13076699080993703,0.17391304347826086,False
lightgbm,platt,>89 (anonymized),5,5,,,,,True
lightgbm,uncalibrated,<40,50,17,0.6434937611408199,0.2515732525283323,0.22407927076046957,0.3,False
lightgbm,uncalibrated,40-59,137,60,0.7893939393939394,0.1837180502330007,0.06306897223579114,0.2773722627737226,False
lightgbm,uncalibrated,60-79,166,109,0.7846450989859971,0.18017703794037995,0.0910797336698708,0.29518072289156627,False
lightgbm,uncalibrated,80-89,46,42,0.5714285714285714,0.1313465681248107,0.12627997218980824,0.21739130434782608,False
lightgbm,uncalibrated,>89 (anonymized),5,5,,,,,True
logistic_regression,dwac,<40,50,17,0.5222816399286987,0.3040388856710736,0.2437602558689827,0.44,False
logistic_regression,dwac,40-59,137,60,0.7097402597402597,0.22626104708256653,0.09619756823674043,0.3284671532846715,False
logistic_regression,dwac,60-79,166,109,0.7258973120875584,0.194890197719884,0.06021094748220343,0.27710843373493976,False
logistic_regression,dwac,80-89,46,42,0.6011904761904762,0.0998522804409797,0.12742292600851804,0.13043478260869565,False
logistic_regression,dwac,>89 (anonymized),5,5,,,,,True
logistic_regression,isotonic,<40,50,17,0.4946524064171123,0.3128752737920623,0.2575327411327411,0.44,False
logistic_regression,isotonic,40-59,137,60,0.7032467532467533,0.22842816860629306,0.09612312643147752,0.3284671532846715,False
logistic_regression,isotonic,60-79,166,109,0.7281506518590054,0.19538000150510354,0.07786236005160237,0.27710843373493976,False
logistic_regression,isotonic,80-89,46,42,0.5773809523809523,0.1029063791771581,0.143761283249033,0.13043478260869565,False
logistic_regression,isotonic,>89 (anonymized),5,5,,,,,True
logistic_regression,platt,<40,50,17,0.5204991087344029,0.2992082959597373,0.2672506782485744,0.44,False
logistic_regression,platt,40-59,137,60,0.7071428571428571,0.22296620117604643,0.10705298002267724,0.34306569343065696,False
logistic_regression,platt,60-79,166,109,0.7284725575406406,0.1976659278287804,0.11778495165439638,0.26506024096385544,False
logistic_regression,platt,80-89,46,42,0.6011904761904762,0.09568353240742336,0.11646477737396227,0.13043478260869565,False
logistic_regression,platt,>89 (anonymized),5,5,,,,,True
logistic_regression,uncalibrated,<40,50,17,0.5204991087344029,0.2825890846796854,0.23446237690202237,0.46,False
logistic_regression,uncalibrated,40-59,137,60,0.7071428571428571,0.2177114370954545,0.07157617840541966,0.32116788321167883,False
logistic_regression,uncalibrated,60-79,166,109,0.7284725575406406,0.19979496768487717,0.0826477542780226,0.3253012048192771,False
logistic_regression,uncalibrated,80-89,46,42,0.6011904761904762,0.12333312926871108,0.16581692074429627,0.13043478260869565,False
logistic_regression,uncalibrated,>89 (anonymized),5,5,,,,,True
