referral_rate,coverage,n_accepted,n_referred,selective_risk,accepted_case_error_rate,sensitivity,specificity,ppv,npv,brier_score,ece,decision_threshold,model,calibration_method
0.0,1.0,404,0,0.2698019801980198,0.2698019801980198,0.6995708154506438,0.7719298245614035,0.806930693069307,0.6534653465346535,0.1813831984243816,0.05609693058907653,0.5,lightgbm,dwac
0.02,0.9801980198019802,396,8,0.2676767676767677,0.2676767676767677,0.7086956521739131,0.7650602409638554,0.806930693069307,0.654639175257732,0.18018620551645892,0.05883239567333865,0.5,lightgbm,dwac
0.04,0.9603960396039604,388,16,0.2603092783505155,0.2603092783505155,0.7244444444444444,0.7607361963190185,0.806930693069307,0.6666666666666666,0.17845498957546177,0.056464151192279856,0.5,lightgbm,dwac
0.06,0.9405940594059405,380,24,0.26052631578947366,0.26052631578947366,0.7309417040358744,0.7515923566878981,0.806930693069307,0.6629213483146067,0.17742964135035572,0.061853648668968836,0.5,lightgbm,dwac
0.08,0.9207920792079208,372,32,0.25268817204301075,0.25268817204301075,0.7477064220183486,0.7467532467532467,0.806930693069307,0.6764705882352942,0.17553686029402849,0.05939387150605343,0.5,lightgbm,dwac
0.1,0.900990099009901,364,40,0.25,0.25,0.7581395348837209,0.738255033557047,0.806930693069307,0.6790123456790124,0.17412685067249015,0.06230371353930117,0.5,lightgbm,dwac
0.12,0.8811881188118812,356,48,0.2443820224719101,0.2443820224719101,0.7725118483412322,0.7310344827586207,0.806930693069307,0.6883116883116883,0.17236058187377393,0.06252949512199521,0.5,lightgbm,dwac
0.14,0.8589108910891089,347,57,0.23631123919308358,0.23631123919308358,0.7912621359223301,0.723404255319149,0.806930693069307,0.7034482758620689,0.17012501586939047,0.062066045029114225,0.5,lightgbm,dwac
0.16,0.8391089108910891,339,65,0.23303834808259588,0.23303834808259588,0.8029556650246306,0.7132352941176471,0.806930693069307,0.708029197080292,0.16860664091474503,0.06431278527281832,0.5,lightgbm,dwac
0.18,0.8193069306930693,331,73,0.229607250755287,0.229607250755287,0.797979797979798,0.7293233082706767,0.8144329896907216,0.708029197080292,0.16700931498393354,0.06553517354467754,0.5,lightgbm,dwac
0.2,0.7995049504950495,323,81,0.21981424148606812,0.21981424148606812,0.7948717948717948,0.7578125,0.8333333333333334,0.708029197080292,0.16360275874787356,0.06397432209993839,0.5,lightgbm,dwac
0.22,0.7797029702970297,315,89,0.21587301587301588,0.21587301587301588,0.7894736842105263,0.776,0.8426966292134831,0.708029197080292,0.16180550122596513,0.06603963110030753,0.5,lightgbm,dwac
0.24,0.7599009900990099,307,97,0.21172638436482086,0.21172638436482086,0.7967914438502673,0.775,0.8465909090909091,0.7099236641221374,0.15990992558827616,0.06904325199881613,0.5,lightgbm,dwac
0.26,0.7400990099009901,299,105,0.20735785953177258,0.20735785953177258,0.8097826086956522,0.7652173913043478,0.8465909090909091,0.7154471544715447,0.15789797814601944,0.07023390559489273,0.5,lightgbm,dwac
0.28,0.7202970297029703,291,113,0.19931271477663232,0.19931271477663232,0.8277777777777777,0.7567567567567568,0.8465909090909091,0.7304347826086957,0.15473696856753086,0.06802116683985561,0.5,lightgbm,dwac
0.3,0.7004950495049505,283,121,0.18374558303886926,0.18374558303886926,0.8563218390804598,0.7522935779816514,0.8465909090909091,0.7663551401869159,0.14924516573074606,0.07344485527667141,0.5,lightgbm,dwac
0.32,0.6806930693069307,275,129,0.18545454545454546,0.18545454545454546,0.8604651162790697,0.7378640776699029,0.8457142857142858,0.76,0.1490099897299679,0.06919243348183578,0.5,lightgbm,dwac
0.34,0.6608910891089109,267,137,0.18352059925093633,0.18352059925093633,0.8562874251497006,0.75,0.8511904761904762,0.7575757575757576,0.14769312014354624,0.06915645945849122,0.5,lightgbm,dwac
0.36,0.6410891089108911,259,145,0.17374517374517376,0.17374517374517376,0.8580246913580247,0.7731958762886598,0.8633540372670807,0.7653061224489796,0.14347563491612678,0.07695678837407961,0.5,lightgbm,dwac
0.38,0.6188118811881188,250,154,0.172,0.172,0.8580645161290322,0.7789473684210526,0.8636363636363636,0.7708333333333334,0.14209633570235172,0.0765466246593054,0.5,lightgbm,dwac
0.4,0.599009900990099,242,162,0.17355371900826447,0.17355371900826447,0.8636363636363636,0.7613636363636364,0.8636363636363636,0.7613636363636364,0.14212800073928666,0.07318268585133515,0.5,lightgbm,dwac
0.42,0.5792079207920792,234,170,0.17094017094017094,0.17094017094017094,0.868421052631579,0.7560975609756098,0.868421052631579,0.7560975609756098,0.14023478423501234,0.07690513794316721,0.5,lightgbm,dwac
0.44,0.5594059405940595,226,178,0.16371681415929204,0.16371681415929204,0.8639455782312925,0.7848101265822784,0.8819444444444444,0.7560975609756098,0.13633729815679668,0.07510856548806508,0.5,lightgbm,dwac
0.46,0.5396039603960396,218,186,0.16055045871559634,0.16055045871559634,0.8581560283687943,0.8051948051948052,0.8897058823529411,0.7560975609756098,0.13444176475612651,0.07754603838315911,0.5,lightgbm,dwac
0.48,0.5198019801980198,210,194,0.1523809523809524,0.1523809523809524,0.8768115942028986,0.7916666666666666,0.8897058823529411,0.7702702702702703,0.12976371444994747,0.0767908858071383,0.5,lightgbm,dwac
0.5,0.5,202,202,0.1485148514851485,0.1485148514851485,0.8721804511278195,0.8115942028985508,0.8992248062015504,0.7671232876712328,0.12719812056229274,0.07497523053945514,0.5,lightgbm,dwac
0.52,0.4801980198019802,194,210,0.14432989690721648,0.14432989690721648,0.8661417322834646,0.835820895522388,0.9090909090909091,0.7671232876712328,0.1243978671618073,0.07426003001424536,0.5,lightgbm,dwac
0.54,0.4603960396039604,186,218,0.13440860215053763,0.13440860215053763,0.8617886178861789,0.873015873015873,0.9298245614035088,0.7638888888888888,0.11707763499653016,0.06689755100032609,0.5,lightgbm,dwac
0.56,0.4405940594059406,178,226,0.12359550561797752,0.12359550561797752,0.8559322033898306,0.9166666666666666,0.9528301886792453,0.7638888888888888,0.10897032633123635,0.07638636848577558,0.5,lightgbm,dwac
0.58,0.4207920792079208,170,234,0.12941176470588237,0.12941176470588237,0.8454545454545455,0.9166666666666666,0.9489795918367347,0.7638888888888888,0.11342925834692294,0.07437094616398846,0.5,lightgbm,dwac
0.6,0.400990099009901,162,242,0.12962962962962962,0.12962962962962962,0.8349514563106796,0.9322033898305084,0.9555555555555556,0.7638888888888888,0.113615433891383,0.07869086819157103,0.5,lightgbm,dwac
0.62,0.3811881188118812,154,250,0.12987012987012986,0.12987012987012986,0.8367346938775511,0.9285714285714286,0.9534883720930233,0.7647058823529411,0.11379398592154191,0.07620481051789232,0.5,lightgbm,dwac
0.64,0.3589108910891089,145,259,0.11724137931034483,0.11724137931034483,0.8631578947368421,0.92,0.9534883720930233,0.7796610169491526,0.10377903350480919,0.0666453353894653,0.5,lightgbm,dwac
