model,calibration_method,coverage,selective_risk,sensitivity,specificity,ppv,npv
lightgbm,dwac,1.0,0.2698019801980198,0.6995708154506438,0.7719298245614035,0.806930693069307,0.6534653465346535
lightgbm,isotonic,1.0,0.2698019801980198,0.6995708154506438,0.7719298245614035,0.806930693069307,0.6534653465346535
lightgbm,platt,1.0,0.2772277227722772,0.7467811158798283,0.6900584795321637,0.7665198237885462,0.6666666666666666
lightgbm,uncalibrated,1.0,0.2772277227722772,0.6824034334763949,0.7777777777777778,0.8071065989847716,0.642512077294686
logistic_regression,dwac,1.0,0.2945544554455445,0.7639484978540773,0.6257309941520468,0.7355371900826446,0.6604938271604939
logistic_regression,isotonic,1.0,0.2945544554455445,0.7639484978540773,0.6257309941520468,0.7355371900826446,0.6604938271604939
logistic_regression,platt,1.0,0.2945544554455445,0.7725321888412017,0.6140350877192983,0.7317073170731707,0.6645569620253164
logistic_regression,uncalibrated,1.0,0.3143564356435643,0.6566523605150214,0.7251461988304093,0.765,0.6078431372549019
lightgbm,dwac,0.900990099009901,0.25,0.7581395348837209,0.738255033557047,0.806930693069307,0.6790123456790124
lightgbm,isotonic,0.900990099009901,0.2829670329670329,0.7180616740088106,0.7153284671532847,0.806930693069307,0.6049382716049383
lightgbm,platt,0.900990099009901,0.25,0.7581395348837209,0.738255033557047,0.806930693069307,0.6790123456790124
lightgbm,uncalibrated,0.900990099009901,0.2472527472527472,0.7075471698113207,0.8157894736842105,0.8426966292134831,0.6666666666666666
logistic_regression,dwac,0.900990099009901,0.2802197802197802,0.7935779816513762,0.6095890410958904,0.7521739130434782,0.664179104477612
logistic_regression,isotonic,0.900990099009901,0.3076923076923077,0.7587719298245614,0.5808823529411765,0.7521739130434782,0.5895522388059702
logistic_regression,platt,0.900990099009901,0.2802197802197802,0.7935779816513762,0.6095890410958904,0.7521739130434782,0.664179104477612
logistic_regression,uncalibrated,0.900990099009901,0.2884615384615384,0.6811594202898551,0.7515923566878981,0.7833333333333333,0.6413043478260869
lightgbm,dwac,0.7995049504950495,0.2198142414860681,0.7948717948717948,0.7578125,0.8333333333333334,0.708029197080292
lightgbm,isotonic,0.7995049504950495,0.2074303405572755,0.7989949748743719,0.782258064516129,0.8548387096774194,0.708029197080292
lightgbm,platt,0.7995049504950495,0.2167182662538699,0.7897435897435897,0.7734375,0.8415300546448088,0.7071428571428572
lightgbm,uncalibrated,0.7995049504950495,0.2321981424148606,0.7210526315789474,0.8345864661654135,0.8616352201257862,0.676829268292683
logistic_regression,dwac,0.7995049504950495,0.2755417956656347,0.8439024390243902,0.5169491525423728,0.7521739130434782,0.6559139784946236
logistic_regression,isotonic,0.7995049504950495,0.2755417956656347,0.8439024390243902,0.5169491525423728,0.7521739130434782,0.6559139784946236
logistic_regression,platt,0.7995049504950495,0.2662538699690402,0.8112244897959183,0.6141732283464567,0.7644230769230769,0.6782608695652174
logistic_regression,uncalibrated,0.7995049504950495,0.2631578947368421,0.7010869565217391,0.7841726618705036,0.8113207547169812,0.6646341463414634
lightgbm,dwac,0.7004950495049505,0.1837455830388692,0.8563218390804598,0.7522935779816514,0.8465909090909091,0.7663551401869159
lightgbm,isotonic,0.7004950495049505,0.2049469964664311,0.8277777777777777,0.7378640776699029,0.8465909090909091,0.7102803738317757
lightgbm,platt,0.7004950495049505,0.2014134275618374,0.8103448275862069,0.7798165137614679,0.8545454545454545,0.7203389830508474
lightgbm,uncalibrated,0.7004950495049505,0.2084805653710247,0.7469879518072289,0.8547008547008547,0.8794326241134752,0.704225352112676
logistic_regression,dwac,0.7004950495049505,0.2685512367491166,0.8397790055248618,0.5392156862745098,0.7638190954773869,0.6547619047619048
logistic_regression,isotonic,0.7004950495049505,0.2720848056537102,0.8351648351648352,0.5346534653465347,0.7638190954773869,0.6428571428571429
logistic_regression,platt,0.7004950495049505,0.254416961130742,0.8181818181818182,0.6261682242990654,0.782608695652174,0.6767676767676768
logistic_regression,uncalibrated,0.7004950495049505,0.254416961130742,0.718562874251497,0.7844827586206896,0.8275862068965517,0.6594202898550725
lightgbm,dwac,0.5,0.1485148514851485,0.8721804511278195,0.8115942028985508,0.8992248062015504,0.7671232876712328
lightgbm,isotonic,0.5,0.1485148514851485,0.8721804511278195,0.8115942028985508,0.8992248062015504,0.7671232876712328
lightgbm,platt,0.5,0.1485148514851485,0.8740740740740741,0.8059701492537313,0.900763358778626,0.7605633802816901
lightgbm,uncalibrated,0.5,0.1435643564356435,0.8346456692913385,0.8933333333333333,0.9298245614035088,0.7613636363636364
logistic_regression,dwac,0.5,0.2277227722772277,0.8015267175572519,0.7183098591549296,0.84,0.6623376623376623
logistic_regression,isotonic,0.5,0.2326732673267326,0.7923076923076923,0.7222222222222222,0.8373983739837398,0.6582278481012658
logistic_regression,platt,0.5,0.2079207920792079,0.8540145985401459,0.6615384615384615,0.841726618705036,0.6825396825396826
logistic_regression,uncalibrated,0.5,0.2376237623762376,0.7355371900826446,0.8024691358024691,0.8476190476190476,0.6701030927835051
