model,calibration_method,sex,n,n_pos,auroc,brier,ece_10bins,selective_risk_at_full_coverage,low_n_flag
lightgbm,dwac,F,190,106,0.8097484276729561,0.18112800030423137,0.07584687997247117,0.28421052631578947,False
lightgbm,dwac,M,214,127,0.8070413612091593,0.18160977619460839,0.05627389481021543,0.2570093457943925,False
lightgbm,isotonic,F,190,106,0.8046383647798743,0.18262166074615802,0.08336301702048717,0.28421052631578947,False
lightgbm,isotonic,M,214,127,0.8018825233052764,0.18389416879390863,0.07293685036082431,0.2570093457943925,False
lightgbm,platt,F,190,106,0.8086253369272238,0.1826268899955286,0.08871922344631422,0.2894736842105263,False
lightgbm,platt,M,214,127,0.806679337496606,0.1788849209174593,0.06092010001144718,0.26635514018691586,False
lightgbm,uncalibrated,F,190,106,0.8086253369272238,0.1836214247984712,0.09374279129041788,0.3,False
lightgbm,uncalibrated,M,214,127,0.806679337496606,0.18153431270833056,0.08675435246479767,0.2570093457943925,False
logistic_regression,dwac,F,190,106,0.7657232704402516,0.20311744009744223,0.07650812990668943,0.29473684210526313,False
logistic_regression,dwac,M,214,127,0.731649923069961,0.2081886583496773,0.09214428036140351,0.29439252336448596,False
logistic_regression,isotonic,F,190,106,0.7550539083557951,0.20734479833712416,0.08484624478100071,0.29473684210526313,False
logistic_regression,isotonic,M,214,127,0.7332337768123811,0.20892376073181373,0.09368438166924097,0.29439252336448596,False
logistic_regression,platt,F,190,106,0.7667340521114107,0.19922082238340635,0.0967079316067342,0.2894736842105263,False
logistic_regression,platt,M,214,127,0.7301113222916101,0.20966736292649957,0.0776448901821794,0.29906542056074764,False
logistic_regression,uncalibrated,F,190,106,0.7667340521114107,0.19857121884565637,0.08218098806799196,0.33157894736842103,False
logistic_regression,uncalibrated,M,214,127,0.7301113222916101,0.21059233288328022,0.08941940491518667,0.29906542056074764,False
