model,calibration_method,referral_rate,coverage,n_accepted,n_referred,selective_risk,accepted_case_error_rate,sensitivity,specificity,ppv,npv,brier_score,ece,decision_threshold
lightgbm,dwac,0.0,1.0,2158,0,0.2344763670064875,0.2344763670064875,0.8089887640449438,0.706140350877193,0.7899686520376176,0.7301587301587301,0.15829441753933635,0.032698053507083664,0.5
lightgbm,dwac,0.05,0.9499536607970342,2050,108,0.22,0.22,0.8234797297297297,0.7205542725173211,0.8011503697617092,0.7490996398559424,0.1535206154160097,0.03619568372408909,0.5
lightgbm,dwac,0.1,0.8999073215940686,1942,216,0.20494335736354274,0.20494335736354274,0.8148804251550045,0.7675276752767528,0.8295761947700632,0.7490996398559424,0.14811707889931364,0.03990716886487351,0.5
lightgbm,dwac,0.2,0.7998146431881371,1726,432,0.1842410196987254,0.1842410196987254,0.8413320274240941,0.7787234042553192,0.8463054187192118,0.7721518987341772,0.13695303457432045,0.03770062566267088,0.5
lightgbm,dwac,0.3,0.7001853568118629,1511,647,0.1628060886829914,0.1628060886829914,0.8780748663101604,0.7708333333333334,0.8614900314795383,0.7956989247311828,0.12453413299348996,0.03678169060261157,0.5
lightgbm,isotonic,0.0,1.0,2158,0,0.2344763670064875,0.2344763670064875,0.8097913322632424,0.7050438596491229,0.7895148669796557,0.7306818181818182,0.15861659757940738,0.03622215284820158,0.5
lightgbm,isotonic,0.05,0.9499536607970342,2050,108,0.22048780487804878,0.22048780487804878,0.8233305156382079,0.7197231833910035,0.8003286770747741,0.7490996398559424,0.15389821343242674,0.039422022287128544,0.5
lightgbm,isotonic,0.1,0.8999073215940686,1942,216,0.20751802265705457,0.20751802265705457,0.8140569395017794,0.7628361858190709,0.8250676284941388,0.7490996398559424,0.14867017644341446,0.04122347239183759,0.5
lightgbm,isotonic,0.2,0.7998146431881371,1726,432,0.18713789107763615,0.18713789107763615,0.8372319688109162,0.7771428571428571,0.8463054187192118,0.7651195499296765,0.13772804355058138,0.04047650830051241,0.5
lightgbm,isotonic,0.3,0.7001853568118629,1511,647,0.15618795499669094,0.15618795499669094,0.8400876232201533,0.8494983277591973,0.8949824970828472,0.7767584097859327,0.12296278468048606,0.03696249153762328,0.5
lightgbm,platt,0.0,1.0,2158,0,0.23586654309545876,0.23586654309545876,0.8017656500802568,0.7127192982456141,0.7922283901665345,0.7246376811594203,0.15850301286662477,0.029127519875498234,0.5
lightgbm,platt,0.05,0.9499536607970342,2050,108,0.21951219512195122,0.21951219512195122,0.815281276238455,0.7322467986030268,0.8084929225645295,0.7408716136631331,0.15350965810500383,0.028391295740920367,0.5
lightgbm,platt,0.1,0.8999073215940686,1942,216,0.203913491246138,0.203913491246138,0.8283450704225352,0.750620347394541,0.8239929947460596,0.75625,0.14811433875500363,0.03226731287137171,0.5
lightgbm,platt,0.2,0.7998146431881371,1726,432,0.18482039397450753,0.18482039397450753,0.8504854368932039,0.7629310344827587,0.8414985590778098,0.7751824817518248,0.13768843006127443,0.03370506213096624,0.5
lightgbm,platt,0.3,0.7001853568118629,1511,647,0.1628060886829914,0.1628060886829914,0.872454448017149,0.7802768166089965,0.8650371944739639,0.7912280701754386,0.12528033744489728,0.03514040279058322,0.5
lightgbm,uncalibrated,0.0,1.0,2158,0,0.23772011121408712,0.23772011121408712,0.7399678972712681,0.7927631578947368,0.8298829882988299,0.6905444126074498,0.16058430468460938,0.051543144572329294,0.5
lightgbm,uncalibrated,0.05,0.9499536607970342,2050,108,0.2248780487804878,0.2248780487804878,0.7534013605442177,0.8043478260869565,0.8382213812677389,0.7079556898288016,0.15591135625986297,0.04646373331443234,0.5
lightgbm,uncalibrated,0.1,0.8999073215940686,1942,216,0.2157569515962925,0.2157569515962925,0.7644959857270295,0.8112058465286236,0.8468379446640316,0.7161290322580646,0.1511604636102378,0.048280375844360644,0.5
lightgbm,uncalibrated,0.2,0.7998146431881371,1726,432,0.18192352259559674,0.18192352259559674,0.7949748743718593,0.8495212038303693,0.8779134295227525,0.7527272727272727,0.13761084427491813,0.04314820904830134,0.5
lightgbm,uncalibrated,0.3,0.7001853568118629,1511,647,0.15486432825943083,0.15486432825943083,0.819304152637486,0.882258064516129,0.9090909090909091,0.7725988700564972,0.12375404359183202,0.04343926521105902,0.5
logistic_regression,dwac,0.0,1.0,2158,0,0.27803521779425394,0.27803521779425394,0.7375601926163724,0.7006578947368421,0.7709731543624161,0.6614906832298136,0.18243966482857063,0.02568007778732733,0.5
logistic_regression,dwac,0.05,0.9499536607970342,2050,108,0.2678048780487805,0.2678048780487805,0.7397489539748954,0.7216374269005847,0.7878787878787878,0.6648706896551724,0.1789162669118846,0.025234061593648143,0.5
logistic_regression,dwac,0.1,0.8999073215940686,1942,216,0.2564366632337796,0.2564366632337796,0.7727272727272727,0.7017543859649122,0.7878787878787878,0.6829268292682927,0.17499943420673522,0.02745863557613544,0.5
logistic_regression,dwac,0.2,0.7998146431881371,1726,432,0.23348783314020857,0.23348783314020857,0.8427073403241182,0.6484490398818316,0.7878787878787878,0.7268211920529801,0.16603867847464057,0.028856231963887098,0.5
logistic_regression,dwac,0.3,0.7001853568118629,1511,647,0.21376571806750497,0.21376571806750497,0.8764397905759163,0.6312949640287769,0.8032629558541267,0.7484008528784648,0.15567855727842314,0.024626629211481267,0.5
logistic_regression,isotonic,0.0,1.0,2158,0,0.27803521779425394,0.27803521779425394,0.7375601926163724,0.7006578947368421,0.7709731543624161,0.6614906832298136,0.18275010332928118,0.02910870159963555,0.5
logistic_regression,isotonic,0.05,0.9499536607970342,2050,108,0.2658536585365854,0.2658536585365854,0.7422334172963896,0.7229336437718277,0.7878787878787878,0.6691810344827587,0.17908024284976562,0.03082012397874439,0.5
logistic_regression,isotonic,0.1,0.8999073215940686,1942,216,0.256951596292482,0.256951596292482,0.7720524017467248,0.7013801756587202,0.7878787878787878,0.6817073170731708,0.1753907208276176,0.030785395133766602,0.5
logistic_regression,isotonic,0.2,0.7998146431881371,1726,432,0.23754345307068367,0.23754345307068367,0.8371212121212122,0.6447761194029851,0.7878787878787878,0.7152317880794702,0.16677441261873505,0.029070997507300578,0.5
logistic_regression,isotonic,0.3,0.7001853568118629,1511,647,0.21442753143613502,0.21442753143613502,0.8763102725366876,0.63016157989228,0.8023032629558541,0.7484008528784648,0.15611827712415308,0.029780409780754098,0.5
logistic_regression,platt,0.0,1.0,2158,0,0.278498609823911,0.278498609823911,0.7792937399678973,0.6425438596491229,0.748650732459522,0.6806039488966318,0.18199168579109956,0.019411489438853756,0.5
logistic_regression,platt,0.05,0.9499536607970342,2050,108,0.2702439024390244,0.2702439024390244,0.790268456375839,0.6456876456876457,0.7560192616372392,0.6890547263681592,0.17848789423198014,0.02046435522479138,0.5
logistic_regression,platt,0.1,0.8999073215940686,1942,216,0.25952626158599384,0.25952626158599384,0.803307223672759,0.6494325346784363,0.768526228143214,0.6950067476383266,0.17458125275870262,0.016778304943842297,0.5
logistic_regression,platt,0.2,0.7998146431881371,1726,432,0.23117033603707995,0.23117033603707995,0.834774255523535,0.6686131386861314,0.7928832116788321,0.726984126984127,0.16492867199613348,0.018510354694910202,0.5
logistic_regression,platt,0.3,0.7001853568118629,1511,647,0.2097948378557247,0.2097948378557247,0.8569903948772679,0.681184668989547,0.8144016227180527,0.7447619047619047,0.15483124310796523,0.01845383883895747,0.5
logistic_regression,uncalibrated,0.0,1.0,2158,0,0.2812789620018536,0.2812789620018536,0.6845906902086677,0.7653508771929824,0.7994376757263355,0.6397800183318056,0.18538415942929598,0.05764032651567406,0.5
logistic_regression,uncalibrated,0.05,0.9499536607970342,2050,108,0.2697560975609756,0.2697560975609756,0.6945147679324895,0.7791907514450868,0.8116370808678501,0.6505791505791506,0.18197324626381942,0.05724580637663961,0.5
