model,feature_configuration,test_auroc,auroc_ci_lower,auroc_ci_upper,diff_vs_full_model,diff_ci_lower,diff_ci_upper,diff_excludes_zero
logistic_regression,Full model (all leads + demographics),0.7953635845231055,0.7761462557376587,0.8141802672059363,0.0,0.0,0.0,False
logistic_regression,"Limb leads (I,II,III,aVR,aVL,aVF) only",0.7211902649883134,0.7001983760313706,0.7415973439568021,-0.07417331953479211,-0.09176762570048713,-0.05686908633944419,True
logistic_regression,Precordial leads (V1-V6) only,0.6860779054377518,0.6633078702725915,0.7081814437779844,-0.10928567908535369,-0.1275248998549744,-0.09051521887584138,True
logistic_regression,"Demographics (age,height,weight,gender) only",0.7536370772436709,0.7324998547985131,0.7739159828996649,-0.04172650727943461,-0.056103555500408485,-0.025853982744783368,True
logistic_regression,Full minus Limb leads,0.7711430965053081,0.7502689087536256,0.790239710054631,-0.024220488017797415,-0.03395032965137558,-0.013873078060319285,True
logistic_regression,Full minus Precordial leads,0.7904971346906593,0.7712008470966741,0.8100971573948917,-0.004866449832446218,-0.013017247296612286,0.003876109691363227,False
logistic_regression,Full minus Demographics,0.7429581678916392,0.7229404489101968,0.765084476465039,-0.05240541663146636,-0.06524741013347962,-0.038606457330123106,True
lightgbm,Full model (all leads + demographics),0.8463926670609107,0.8304884842020783,0.8618378372194532,0.0,0.0,0.0,False
lightgbm,"Limb leads (I,II,III,aVR,aVL,aVF) only",0.763479978034975,0.744879755568697,0.7824612444031428,-0.08291268902593563,-0.0994064339218833,-0.067255062691842,True
lightgbm,Precordial leads (V1-V6) only,0.7795762228605221,0.7604116506153022,0.798601401678353,-0.06681644420038857,-0.08115124098870764,-0.05252514185745274,True
lightgbm,"Demographics (age,height,weight,gender) only",0.7439371779167019,0.7226454808897245,0.7640237796035031,-0.10245548914420877,-0.12035166040100251,-0.0862396070935766,True
lightgbm,Full minus Limb leads,0.8202669595336657,0.8001398334318943,0.8373306422657768,-0.026125707527244968,-0.035512477647771074,-0.01736431581059393,True
lightgbm,Full minus Precordial leads,0.8149165047450087,0.7974213975951114,0.8313614091408296,-0.031476162315902,-0.041680086804088856,-0.021122460293993364,True
lightgbm,Full minus Demographics,0.8146586621047,0.7979708752217622,0.8319059807172426,-0.031734004956210704,-0.041748441504041015,-0.021388025013376034,True
