model,calibration_method,age_band,n,n_pos,auroc,brier,ece_10bins,selective_risk_at_full_coverage,low_n_flag
lightgbm,dwac,<40,284,66,0.636502641089797,0.16811427644766788,0.09210073845846853,0.2112676056338028,False
lightgbm,dwac,40-59,639,265,0.7693068307940671,0.1919509309658606,0.05856772496065894,0.30203442879499215,False
lightgbm,dwac,60-79,914,613,0.8153707326855018,0.1626986994839063,0.034074699958464724,0.24726477024070023,False
lightgbm,dwac,80-89,289,270,0.772514619883041,0.07585563164948894,0.07423217576829681,0.09342560553633218,False
lightgbm,dwac,>89 (anonymized),32,32,,,,,True
lightgbm,isotonic,<40,284,66,0.6440436474840144,0.16882494844471763,0.09698374954980066,0.2112676056338028,False
lightgbm,isotonic,40-59,639,265,0.7665220462112805,0.19226949039445523,0.06282589026186872,0.30359937402190923,False
lightgbm,isotonic,60-79,914,613,0.8149669670971693,0.16291446830149142,0.037103622286617705,0.2461706783369803,False
lightgbm,isotonic,80-89,289,270,0.7716374269005848,0.0761258007242564,0.07020046470104857,0.09342560553633218,False
lightgbm,isotonic,>89 (anonymized),32,32,,,,,True
lightgbm,platt,<40,284,66,0.636502641089797,0.1682467252619109,0.08558605339572421,0.2112676056338028,False
lightgbm,platt,40-59,639,265,0.7690949450105943,0.1923105746668517,0.05066844787565312,0.29890453834115804,False
lightgbm,platt,60-79,914,613,0.8153246654707257,0.1634069057402165,0.03090877223470661,0.2527352297592998,False
lightgbm,platt,80-89,289,270,0.772514619883041,0.07452804113701396,0.07107683339254348,0.09342560553633218,False
lightgbm,platt,>89 (anonymized),32,32,,,,,True
lightgbm,uncalibrated,<40,284,66,0.636502641089797,0.17059759271225164,0.10722045574580516,0.22887323943661972,False
lightgbm,uncalibrated,40-59,639,265,0.7690949450105943,0.19122567033794596,0.06620136745718538,0.2863849765258216,False
lightgbm,uncalibrated,60-79,914,613,0.8153246654707257,0.16408312680224343,0.04557911936841798,0.25054704595185995,False
lightgbm,uncalibrated,80-89,289,270,0.772514619883041,0.0869978802740027,0.10525332026000109,0.1245674740484429,False
lightgbm,uncalibrated,>89 (anonymized),32,32,,,,,True
logistic_regression,dwac,<40,284,66,0.6183625243258271,0.19111844419560137,0.08448859751261975,0.2605633802816901,False
logistic_regression,dwac,40-59,639,265,0.6737362526485723,0.23021094031212258,0.09553146429058987,0.350547730829421,False
logistic_regression,dwac,60-79,914,613,0.7512966566041418,0.18448657282663747,0.022674175768817185,0.2986870897155361,False
logistic_regression,dwac,80-89,289,270,0.6949317738791423,0.08201171930901172,0.10727288157887367,0.10034602076124567,False
logistic_regression,dwac,>89 (anonymized),32,32,,,,,True
logistic_regression,isotonic,<40,284,66,0.6161731998887962,0.1920343532743574,0.0822656038636516,0.2605633802816901,False
logistic_regression,isotonic,40-59,639,265,0.6729290687115327,0.23091686120160856,0.0989429138740454,0.350547730829421,False
logistic_regression,isotonic,60-79,914,613,0.7493889319451745,0.18464005366267747,0.024293499996414086,0.2986870897155361,False
logistic_regression,isotonic,80-89,289,270,0.6807992202729045,0.08136795048322526,0.10193621455935305,0.10034602076124567,False
logistic_regression,isotonic,>89 (anonymized),32,32,,,,,True
logistic_regression,platt,<40,284,66,0.6194745621351126,0.19036741943143215,0.08248162622641356,0.2711267605633803,False
logistic_regression,platt,40-59,639,265,0.6735445464635255,0.2286542550940444,0.08661243383171577,0.352112676056338,False
logistic_regression,platt,60-79,914,613,0.7513562729997345,0.18422195806893268,0.025035887269640792,0.2975929978118162,False
logistic_regression,platt,80-89,289,270,0.6951267056530214,0.08368345637840831,0.11489906643322942,0.09342560553633218,False
logistic_regression,platt,>89 (anonymized),32,32,,,,,True
logistic_regression,uncalibrated,<40,284,66,0.6194745621351126,0.18495067512809854,0.07388436215027092,0.2605633802816901,False
logistic_regression,uncalibrated,40-59,639,265,0.6735445464635255,0.22276030279240605,0.0498867550020944,0.3474178403755869,False
logistic_regression,uncalibrated,60-79,914,613,0.7513562729997345,0.19072788117537884,0.07920470417073838,0.30306345733041573,False
logistic_regression,uncalibrated,80-89,289,270,0.6951267056530214,0.10679205995212375,0.1699119574452802,0.11764705882352941,False
logistic_regression,uncalibrated,>89 (anonymized),32,32,,,,,True
