referral_rate,coverage,n_accepted,n_referred,selective_risk,accepted_case_error_rate,sensitivity,specificity,ppv,npv,brier_score,ece,decision_threshold,model,calibration_method
0.0,1.0,2158,0,0.2344763670064875,0.2344763670064875,0.8089887640449438,0.706140350877193,0.7899686520376176,0.7301587301587301,0.15829441753933635,0.032698053507083664,0.5,lightgbm,dwac
0.02,0.9800741427247451,2115,43,0.22789598108747045,0.22789598108747045,0.8248772504091653,0.6998880179171333,0.7899686520376176,0.7449344457687723,0.15641235861962716,0.03468155626468774,0.5,lightgbm,dwac
0.04,0.9601482854494903,2072,86,0.22152509652509653,0.22152509652509653,0.825542570951586,0.7139588100686499,0.7982243744955609,0.7490996398559424,0.15444795032006672,0.03684381496604096,0.5,lightgbm,dwac
0.06,0.9402224281742354,2029,129,0.21439132577624445,0.21439132577624445,0.8227311280746396,0.7341176470588235,0.8110367892976589,0.7490996398559424,0.15229367571903038,0.039686552036988794,0.5,lightgbm,dwac
0.08,0.9198331788693235,1985,173,0.20856423173803526,0.20856423173803526,0.8192041522491349,0.752714113389626,0.8220486111111112,0.7490996398559424,0.1501339192710503,0.04093738589363274,0.5,lightgbm,dwac
0.1,0.8999073215940686,1942,216,0.20494335736354274,0.20494335736354274,0.8148804251550045,0.7675276752767528,0.8295761947700632,0.7490996398559424,0.14811707889931364,0.03990716886487351,0.5,lightgbm,dwac
0.12,0.8799814643188137,1899,259,0.20115850447604003,0.20115850447604003,0.8103448275862069,0.7829360100376411,0.8377110694183865,0.7490996398559424,0.14602906911637106,0.03897526803383447,0.5,lightgbm,dwac
0.14,0.8600556070435589,1856,302,0.19773706896551724,0.19773706896551724,0.8054003724394786,0.7979539641943734,0.8455522971652004,0.7490996398559424,0.14399080754259477,0.037974408467727566,0.5,lightgbm,dwac
0.16,0.840129749768304,1813,345,0.19415333701047988,0.19415333701047988,0.814218009478673,0.7941952506596306,0.8463054187192118,0.7543859649122807,0.14186993668144623,0.03764660384932009,0.5,lightgbm,dwac
0.18,0.8202038924930491,1770,388,0.1903954802259887,0.1903954802259887,0.8259615384615384,0.7863013698630137,0.8463054187192118,0.7602649006622516,0.13964803844591522,0.0366512408960619,0.5,lightgbm,dwac
0.2,0.7998146431881371,1726,432,0.1842410196987254,0.1842410196987254,0.8413320274240941,0.7787234042553192,0.8463054187192118,0.7721518987341772,0.13695303457432045,0.03770062566267088,0.5,lightgbm,dwac
