model,calibration_method,sex,n,n_pos,auroc,brier,ece_10bins,selective_risk_at_full_coverage,low_n_flag
lightgbm,dwac,0,1110,625,0.8518465979381443,0.15732758530462296,0.05884902238038685,0.23243243243243245,False
lightgbm,dwac,1,1048,621,0.8444753683527739,0.15931844786427132,0.03672072661490219,0.2366412213740458,False
lightgbm,isotonic,0,1110,625,0.851440824742268,0.15770935352694054,0.06155829215001766,0.23243243243243245,False
lightgbm,isotonic,1,1048,621,0.8438172924986895,0.15957751446703924,0.0415139093992158,0.2366412213740458,False
lightgbm,platt,0,1110,625,0.8518762886597938,0.15703545495872087,0.05768754684195192,0.23243243243243245,False
lightgbm,platt,1,1048,621,0.8443810881444523,0.16005739194846955,0.03946581538844209,0.23950381679389313,False
lightgbm,uncalibrated,0,1110,625,0.8518762886597938,0.15498863050996653,0.04229464225931343,0.22432432432432434,False
lightgbm,uncalibrated,1,1048,621,0.8443810881444523,0.1665110206520269,0.07584945088351154,0.25190839694656486,False
logistic_regression,dwac,0,1110,625,0.8077360824742268,0.18228860901962232,0.06272489652091465,0.26126126126126126,False
logistic_regression,dwac,1,1048,621,0.794925462067301,0.18259965714530021,0.043450805682333574,0.2958015267175573,False
logistic_regression,isotonic,0,1110,625,0.8043414432989691,0.18280513306835527,0.06074225816833715,0.26126126126126126,False
logistic_regression,isotonic,1,1048,621,0.7940561985465764,0.18269181801404052,0.04539164555543782,0.2958015267175573,False
logistic_regression,platt,0,1110,625,0.8078119587628866,0.18150341840702255,0.0615143064035726,0.2693693693693694,False
logistic_regression,platt,1,1048,621,0.794868893942308,0.18250883922270789,0.047985060369865565,0.2881679389312977,False
logistic_regression,uncalibrated,0,1110,625,0.8078119587628866,0.17820993821806846,0.028785294625419424,0.26306306306306304,False
logistic_regression,uncalibrated,1,1048,621,0.794868893942308,0.1929828097579816,0.10405720593739785,0.3005725190839695,False
