variable,Overall,test,train,val
age_at_admission,"53.5 [33.0, 75.2]","57.5 [30.8, 75.5]","51.5 [32.8, 74.5]","65.5 [46.0, 74.0]"
heart_rate_mean,"86.0 [78.5, 93.4]","85.1 [77.0, 95.3]","84.1 [77.9, 92.2]","89.9 [86.3, 97.7]"
sbp_mean,"119.5 [107.0, 137.2]","120.7 [108.7, 130.0]","120.6 [108.4, 139.9]","108.0 [96.2, 124.7]"
dbp_mean,"75.2 [65.6, 82.2]","74.9 [65.4, 81.5]","75.2 [65.8, 84.2]","76.4 [69.5, 79.5]"
resp_rate_mean,"18.8 [15.8, 22.1]","19.0 [16.2, 22.0]","18.6 [15.6, 21.9]","20.7 [16.1, 22.7]"
spo2_mean,"95.5 [92.6, 98.4]","95.3 [92.2, 98.3]","95.6 [92.6, 98.4]","94.8 [93.2, 98.2]"
temp_mean,"99.1 [98.2, 99.8]","99.4 [98.5, 99.8]","99.0 [98.2, 99.7]","98.9 [98.1, 99.9]"
gcs_total_min,"15.0 [14.0, 15.0]","15.0 [13.8, 15.0]","15.0 [13.8, 15.0]","15.0 [14.0, 15.0]"
creatinine_max,"1.1 [0.7, 1.4]","1.1 [0.8, 1.4]","1.1 [0.7, 1.3]","1.0 [0.8, 1.2]"
sodium_min,"138.5 [134.7, 141.0]","136.9 [132.9, 141.4]","138.8 [135.2, 141.1]","135.8 [133.1, 139.1]"
potassium_max,"4.2 [3.8, 4.7]","4.3 [3.7, 4.4]","4.3 [3.9, 4.7]","4.1 [3.9, 4.7]"
bicarbonate_min,"23.4 [21.4, 26.1]","23.2 [20.4, 25.8]","23.3 [21.4, 26.2]","24.5 [22.1, 25.6]"
wbc_max,"10.4 [7.3, 13.0]","11.0 [8.1, 13.4]","10.3 [6.9, 12.8]","10.3 [8.4, 13.3]"
glucose_max,"119.0 [103.2, 142.0]","119.2 [90.4, 134.5]","119.0 [103.7, 142.8]","119.3 [108.5, 140.2]"
lactate_max,"2.0 [0.9, 2.8]","2.5 [0.9, 3.0]","1.9 [0.8, 2.7]","2.1 [1.0, 3.0]"
first_careunit = MICU,55 (45.8%),11 (45.8%),38 (45.2%),6 (50.0%)
first_careunit = SICU,42 (35.0%),10 (41.7%),29 (34.5%),3 (25.0%)
first_careunit = CCU,23 (19.2%),3 (12.5%),17 (20.2%),3 (25.0%)
gender = F,70 (58.3%),14 (58.3%),49 (58.3%),7 (58.3%)
gender = M,50 (41.7%),10 (41.7%),35 (41.7%),5 (41.7%)
admission_type = EMERGENCY,62 (51.7%),10 (41.7%),49 (58.3%),3 (25.0%)
admission_type = ELECTIVE,29 (24.2%),6 (25.0%),17 (20.2%),6 (50.0%)
admission_type = URGENT,29 (24.2%),8 (33.3%),18 (21.4%),3 (25.0%)
