model,calibration_method,threshold,sensitivity,specificity,ppv,npv,f1_score,balanced_accuracy
logistic_regression,uncalibrated,0.2,1.0,0.0,0.08333333333333333,,0.15384615384615385,0.5
logistic_regression,uncalibrated,0.5,0.5,0.7727272727272727,0.16666666666666666,0.9444444444444444,0.25,0.6363636363636364
logistic_regression,platt,0.2,0.0,0.7727272727272727,0.0,0.8947368421052632,,0.38636363636363635
logistic_regression,platt,0.5,0.0,0.8181818181818182,0.0,0.9,,0.4090909090909091
logistic_regression,isotonic,0.2,0.0,0.7727272727272727,0.0,0.8947368421052632,,0.38636363636363635
logistic_regression,isotonic,0.5,0.0,0.8181818181818182,0.0,0.9,,0.4090909090909091
lightgbm,uncalibrated,0.2,0.0,0.8636363636363636,0.0,0.9047619047619048,,0.4318181818181818
lightgbm,uncalibrated,0.5,0.0,1.0,,0.9166666666666666,,0.5
lightgbm,platt,0.2,0.0,1.0,,0.9166666666666666,,0.5
lightgbm,platt,0.5,0.0,1.0,,0.9166666666666666,,0.5
lightgbm,isotonic,0.2,0.0,1.0,,0.9166666666666666,,0.5
lightgbm,isotonic,0.5,0.0,1.0,,0.9166666666666666,,0.5
