model,calibration_method,threshold,sensitivity,specificity,ppv,npv,f1_score,balanced_accuracy
logistic_regression,uncalibrated,0.2,0.9395348837209302,0.3705583756345177,0.2457420924574209,0.9656084656084656,0.3895853423336548,0.655046629677724
logistic_regression,uncalibrated,0.5,0.6930232558139535,0.76751269035533,0.3941798941798942,0.9197080291970804,0.5025295109612142,0.7302679730846418
logistic_regression,platt,0.2,0.6372093023255814,0.7888324873096447,0.3971014492753623,0.9087719298245616,0.4892857142857142,0.7130208948176131
logistic_regression,platt,0.5,0.3209302325581395,0.9583756345177664,0.6272727272727273,0.8660550458715597,0.4246153846153847,0.639652933537953
logistic_regression,isotonic,0.2,0.6,0.8192893401015229,0.4201954397394137,0.9036954087346024,0.4942528735632183,0.7096446700507615
logistic_regression,isotonic,0.5,0.3209302325581395,0.9583756345177664,0.6272727272727273,0.8660550458715597,0.4246153846153847,0.639652933537953
lightgbm,uncalibrated,0.2,0.9348837209302324,0.3309644670050761,0.2337209302325581,0.9588235294117649,0.3739534883720931,0.6329240939676544
lightgbm,uncalibrated,0.5,0.0,1.0,,0.8208333333333333,,0.5
lightgbm,platt,0.2,0.6511627906976745,0.7380710659898477,0.3517587939698492,0.9064837905236908,0.4567699836867863,0.6946169283437611
lightgbm,platt,0.5,0.1348837209302325,0.9776649746192894,0.5686274509803921,0.8381201044386423,0.2180451127819548,0.5562743477747609
lightgbm,isotonic,0.2,0.6744186046511628,0.7289340101522843,0.3519417475728155,0.9111675126903552,0.4625199362041467,0.7016763074017236
lightgbm,isotonic,0.5,0.1534883720930232,0.9746192893401016,0.5689655172413793,0.840630472854641,0.2417582417582417,0.5640538307165625
