model,calibration_method,referral_rate,coverage,n_accepted,n_referred,selective_risk,accepted_case_error_rate,sensitivity,specificity,ppv,npv,brier_score,ece,decision_threshold
lightgbm,isotonic,0.0,1.0,1200,0,0.2808333333333333,0.2808333333333333,0.6744186046511628,0.7289340101522843,0.3519417475728155,0.9111675126903552,0.1263085554229407,0.0306927917738577,0.2
lightgbm,isotonic,0.05,0.95,1140,60,0.2710526315789474,0.2710526315789474,0.6174863387978142,0.7502612330198537,0.3210227272727273,0.9111675126903552,0.1200253896434028,0.0319892226008709,0.2
lightgbm,isotonic,0.1,0.9,1080,120,0.2574074074074074,0.2574074074074074,0.5454545454545454,0.775377969762419,0.2876712328767123,0.9111675126903552,0.1126974460316114,0.031156974024825,0.2
lightgbm,isotonic,0.2,0.8,960,240,0.2041666666666666,0.2041666666666666,0.396551724137931,0.8507109004739336,0.2674418604651162,0.9111675126903552,0.1008059816396702,0.0272578971951555,0.2
lightgbm,isotonic,0.3,0.7,840,360,0.1261904761904762,0.1261904761904762,0.1860465116279069,0.9522546419098143,0.3076923076923077,0.9111675126903552,0.088085303089687,0.0286677910687318,0.2
lightgbm,platt,0.0,1.0,1200,0,0.2775,0.2775,0.6511627906976745,0.7380710659898477,0.3517587939698492,0.9064837905236908,0.1260414426521171,0.0219569588039811,0.2
lightgbm,platt,0.05,0.95,1140,60,0.2692982456140351,0.2692982456140351,0.585635359116022,0.7580813347236705,0.3136094674556213,0.9064837905236908,0.119556701996797,0.0197240360693216,0.2
lightgbm,platt,0.1,0.9,1080,120,0.2555555555555555,0.2555555555555555,0.506578947368421,0.7834051724137931,0.276978417266187,0.9064837905236908,0.1124966118708135,0.0182097225621874,0.2
lightgbm,platt,0.2,0.8,960,240,0.2020833333333333,0.2020833333333333,0.3421052631578947,0.859338061465721,0.2468354430379747,0.9064837905236908,0.0998120275828637,0.0134334151318952,0.2
lightgbm,platt,0.3,0.7,840,360,0.1261904761904762,0.1261904761904762,0.0853658536585365,0.9591029023746702,0.1842105263157894,0.9064837905236908,0.0857156375554495,0.0164518733268304,0.2
lightgbm,uncalibrated,0.0,1.0,1200,0,0.5608333333333333,0.5608333333333333,0.9348837209302324,0.3309644670050761,0.2337209302325581,0.9588235294117649,0.137919568051247,0.0907674351808431,0.2
lightgbm,uncalibrated,0.05,0.95,1140,60,0.5684210526315789,0.5684210526315789,0.9222222222222224,0.3395833333333333,0.2075,0.9588235294117649,0.1302036666995173,0.0849341121189551,0.2
lightgbm,uncalibrated,0.1,0.9,1080,120,0.5712962962962963,0.5712962962962963,0.9072847682119204,0.3509149623250807,0.1851351351351351,0.9588235294117649,0.1226680625042574,0.096770204258761,0.2
lightgbm,uncalibrated,0.2,0.8,960,240,0.55625,0.55625,0.8771929824561403,0.3853427895981087,0.1612903225806451,0.9588235294117649,0.1113842283544001,0.1064785243402761,0.2
lightgbm,uncalibrated,0.3,0.7,840,360,0.530952380952381,0.530952380952381,0.8292682926829268,0.4300791556728232,0.136,0.9588235294117649,0.099087081373847,0.1169569993128955,0.2
