model,calibration_method,threshold,sensitivity,specificity,ppv,npv,f1_score,balanced_accuracy
logistic_regression,uncalibrated,0.2,0.9395348837209302,0.37055837563451777,0.24574209245742093,0.9656084656084656,0.3895853423336548,0.655046629677724
logistic_regression,uncalibrated,0.5,0.6930232558139535,0.76751269035533,0.3941798941798942,0.9197080291970803,0.5025295109612142,0.7302679730846418
logistic_regression,platt,0.2,0.6372093023255814,0.7888324873096447,0.39710144927536234,0.9087719298245615,0.48928571428571427,0.7130208948176131
logistic_regression,platt,0.5,0.3209302325581395,0.9583756345177665,0.6272727272727273,0.8660550458715597,0.4246153846153847,0.639652933537953
logistic_regression,isotonic,0.2,0.6,0.8192893401015229,0.4201954397394137,0.9036954087346024,0.49425287356321834,0.7096446700507615
logistic_regression,isotonic,0.5,0.3209302325581395,0.9583756345177665,0.6272727272727273,0.8660550458715597,0.4246153846153847,0.639652933537953
lightgbm,uncalibrated,0.2,0.9348837209302325,0.33096446700507615,0.23372093023255813,0.9588235294117647,0.3739534883720931,0.6329240939676544
lightgbm,uncalibrated,0.5,0.0,1.0,,0.8208333333333333,,0.5
lightgbm,platt,0.2,0.6511627906976745,0.7380710659898477,0.35175879396984927,0.9064837905236908,0.45676998368678634,0.6946169283437611
lightgbm,platt,0.5,0.13488372093023257,0.9776649746192894,0.5686274509803921,0.8381201044386423,0.21804511278195488,0.5562743477747609
lightgbm,isotonic,0.2,0.6744186046511628,0.7289340101522843,0.35194174757281554,0.9111675126903553,0.4625199362041467,0.7016763074017236
lightgbm,isotonic,0.5,0.15348837209302327,0.9746192893401016,0.5689655172413793,0.840630472854641,0.24175824175824176,0.5640538307165625
